LambID	ADG	DMI
6764	0.197	1.213
6768	0.132	1.021
6856	0.178	1.136
6865	0.217	1.245
6908	0.132	0.763
6914	0.171	1.142
6960	0.072	0.834
6968	0.151	1.002
6973	0.112	0.733
6976	0.138	1.015
6977	0.237	1.289
7025	0.184	1.321
7033	0.217	1.021
7050	0.151	1.045
7059	0.171	0.991
7064	0.23	1.147
7066	0.125	0.823
7068	0.164	0.879
7070	0.309	1.044
7093	0.125	0.841
7094	0.138	0.892
7097	0.164	0.862
7105	0.224	1.156
7115	0.217	1.347
7117	0.182	1.021
7133	0.145	0.822
7144	0.201	1.125
7153	0.184	0.966
7184	0.27	1.305
7196	0.149	1.209
7198	0.197	1.005
7220	0.138	0.932
7236	0.171	0.964
